Address,Area,Price_per_ft2,Rooms,Area-ft2,Rent_Price,Lat,Long
"AdityaEmpressTowers,Shaikpet",No fee rental in Chelsea,5.48,2,1200,6570,,
Attapur,Rental in Midtown East,2.57,3,2500,6431,,
BalajiHillsColony,Rental in Murray Hill,4.66,2,1350,6295,,
"GreenSpaceHillPark,Manikonda,OuterRingRoad",Rental in Lenox Hill,4.43,2,1400,6195,,
Puppalaguda,Rental in Greenwich Village,4.62,2,1300,6000,,
"GKPride,Yapral",Rental in West Village,2.66,3,2450,6525,,
Mehdipatnam,Rental in Murray Hill,4.76,2,1350,6425,,
Nizampet,Rental in Midtown West,4.5,2,1400,6295,,
"Kavadiguda,NH",No fee rental in Financial District,4.13,2,1500,6188,,
"Gundlapochampally,OuterRingRoad",Rental in NoLiTa/Little Italy,3.75,2,1600,6000,,
EastMarredpally,No fee rental in Lincoln Center,4.25,2,1400,5950,,
"SiliconRidge,Attapur",Rental in Lenox Hill,5,3,1500,7500,,
"GksHabitatRoyale,Yapral",No fee rental in Morningside Heights,4.33,2,1800,7792,,
Attapur,No fee rental in Roosevelt Island,2.69,3,2700,7275,,
"GreenSpaceResidency,Gajularamaram",Rental in Greenwich Village,7.83,1,830,6500,,
"LacasaKApartments,BanjaraHills,NH",No fee rental in Lincoln Center,4.01,2,1600,6418,,
Gopanapalli,No fee rental in Riverside Dr./West End Ave.,3.49,2,1800,6275,,
Kondapur,Rental in Midtown West,4.58,3,1350,6182,,
"MyHomeAvatar,Narsingi,OuterRingRoad",Rental in East Village,6.79,2,1300,8825,,
"RamkyOneMarvel,Kukatpally,NH",No fee rental in Chelsea,7.93,1,750,5945,,
"GoldenHeightsColony,Janachaitanyacolony,HyderabadExpressway",Rental in Yorkville,5.93,2,1184,7022,,
"MyHomeAvatar,Narsingi,OuterRingRoad",No fee rental in Broadway Corridor,4.93,3,1400,6905,,
"Floatilla,Manikonda,OuterRingRoad",Rental in Greenwich Village,10.38,2,1300,13500,,
"AshokaLiviano,Gachibowli,OuterRingRoad",Rental in Midtown East,11.25,1,1200,13500,,
"ModiEmeraldHeights,Pocharam,NH",Rental in Midtown East,4.5,2,3000,13500,,
Shamshabad,Rental in Yorkville,3.65,4,3700,13511,,
RoyalColony-RamBaghColony,Rental in Park/Fifth Ave,8.24,2,1700,14000,,
"AnjaneyanagarColony,Boduppal",No fee rental in Flatiron/Union Square,5.83,2,1800,10500,,
Bairagiguda,Rental in Chelsea,5.63,2,2000,11250,,
WestMarredpally,Rental in Midtown West,6.66,3,2400,15995,,
KavuriHills,Rental in Park/Fifth Ave. to 79th St.,5.09,3,2700,13750,,
MasabTank,Rental in Greenwich Village,4.93,3,2900,14300,,
Whitefields,Rental in Lenox Hill,7.08,3,1694,12000,,
"LodhaMeridian,KukatpallyHousingBoardColony,NH",Rental in Carnegie Hill,6.11,1,1800,11000,,
"Khairatabad,NH",Rental in Riverside Dr./West End Ave.,3.13,4,3200,10000,,
"MyHomeAvatar,Myhomeavatar",No fee rental in Flatiron/Union Square,5.69,2,1600,9100,,
Medipally,Rental in Tribeca,11.11,1,900,10000,,
"MyHomeAvatar,Narsingi,OuterRingRoad",No fee rental in Financial District,3.37,3,2700,9095,,
"OldNallakunta,NewNallakunta",Rental in Park/Fifth Ave. to 79th St.,8.8,1,970,8534,,
"ParamountResidency,Nagaram",Rental in West Village,5.13,2,1560,8000,,
"Sadbhavana,Ghatkesar,NH",Rental in Park/Fifth Ave. to 79th St.,8.38,2,1670,14000,,
"JanapriyaLakefront,Sainikpuri",Rental in Midtown East,3.07,6,4560,14000,,
SuchitraCircle,Rental in Park/Fifth Ave. to 79th St.,2.74,6,4560,12500,,
"NCCUrbanOne,Narsingi,OuterRingRoad",Rental in NoLiTa/Little Italy,3.57,4,3500,12500,,
"GandhiNagar,Kavadiguda,NH",Rental in Lenox Hill,6.55,3,1717,11250,,
"Beeramguda,RamachandraPuram,NH",Rental in Riverside Dr./West End Ave.,3.56,4,3150,11200,,
GachibowliPhase,No fee rental in Midtown West,8.05,3,1300,10460,,
"BasheerBagh,NH",No fee rental in Murray Hill,4.2,3,2450,10285,,
"Manchirevula,OuterRingRoad",No fee rental in Tribeca,4.19,3,2230,9350,,
OsmanNagar,Rental in Riverside Dr./West End Ave.,5.26,3,2130,11200,,
"Ameerpet,NH",No fee rental in East Harlem,4.57,3,2450,11190,,
BandariLayout,Rental in Yorkville,6.87,3,1620,11126,,
"AlHasnathColony,ToliChowki",Rental in Carnegie Hill,1,2,10240,10250,,
Shaikpet,Rental in Beekman/Sutton Place,3.65,3,2560,9350,,
"NCLSindhu,DandamudiEnclave,Jeedimetla",Rental in Park/Fifth Ave. to 79th St.,10.22,2,1370,14000,,
Shaikpet,Rental in East Village,5.87,3,2130,12496,,
"Nallagandla,Serilingampally",Rental in Greenwich Village,5.73,3,2180,12500,,
Gajularamaram,Rental in Midtown West,4.16,3,2240,9329,,
Gowlidoddy,No fee rental in Midtown West,7.77,3,1200,9329,,
"KukatpallyHousingBoardColony,NH",Rental in Lenox Hill,5.15,3,1700,8750,,
"KavuriHills,Madhapur",No fee rental in Tribeca,7.11,2,1223,8700,,
"SMRVinayIconia,Kondapur",No fee rental in Midtown East,3.87,3,2100,8118,,
"TrendsetWinz,Gachibowli,OuterRingRoad",No fee rental in Central Park West,5.06,2,1600,8095,,
"Gachibowli,OuterRingRoad",Rental in Greenwich Village,6.67,2,1500,10000,,
